"","id_gbs","trait","dap","y_hat"
"307","PI329727","drymass","NA",9.82314032396956
"308","PI562998","drymass","NA",9.83661310020427
"309","NSL55523","drymass","NA",9.83903649444868
"310","PI651113","drymass","NA",9.84624730444334
"311","PI521175","drymass","NA",9.84748965488623
"312","PI570074","drymass","NA",9.86053032376429
"313","PI660600","drymass","NA",9.8606864609758
"314","PI329362","drymass","NA",9.86469442502898
"315","NSL55350","drymass","NA",9.88250908046493
"316","PI651124","drymass","NA",9.88465612261048
"317","PI453157","drymass","NA",9.92850267439488
"318","PI521086","drymass","NA",9.93001568721621
"319","PI569420","drymass","NA",9.9328900236471
"320","PI154846","drymass","NA",9.94423890700548
"321","PI330887","drymass","NA",9.9786790545671
"322","PI329521","drymass","NA",9.98236226119039
"323","NSL365712","drymass","NA",9.99468960922915
"324","PI156510","drymass","NA",10.0040220076681
"325","PI513912","drymass","NA",10.017243867749
"326","NSL54490","drymass","NA",10.0423289817569
"327","PI153844","drymass","NA",10.0555230973367
"328","PI330070","drymass","NA",10.0784458917676
"329","PI453236","drymass","NA",10.0817281404569
"330","NSL54219","drymass","NA",10.1030338218549
"331","NSL55745","drymass","NA",10.1068194911382
"332","PI651103","drymass","NA",10.1193357179158
"333","PI585454","drymass","NA",10.1293599680408
"334","PI526053","drymass","NA",10.151538039434
"335","NSL54184","drymass","NA",10.1548737627577
"336","PI329511","drymass","NA",10.1841127543949
"337","PI453341","drymass","NA",10.1892946578168
"338","PI570813","drymass","NA",10.1961472820632
"339","NSL55032","drymass","NA",10.2033493394668
"340","PI452761","drymass","NA",10.2068439114558
"341","PI562981","drymass","NA",10.2171458151201
"342","PI453016","drymass","NA",10.2203611073276
"343","PI329646","drymass","NA",10.2204684335273
"344","NSL54977","drymass","NA",10.2300915742987
"345","PI660597","drymass","NA",10.2361891841581
"346","NSL54236","drymass","NA",10.2537644393889
"347","PI453014","drymass","NA",10.2588697512626
"348","PI329528","drymass","NA",10.2765332889799
"349","NSL54175","drymass","NA",10.2767979569674
"350","PI562991","drymass","NA",10.284966034377
"351","PI282861","drymass","NA",10.2946457088713
"352","NSL55665","drymass","NA",10.3097699301311
"353","PI452991","drymass","NA",10.3225670657851
"354","PI525801","drymass","NA",10.3429624864539
"355","PI329633","drymass","NA",10.3437678735554
"356","PI453464","drymass","NA",10.3523992132036
"357","PI147828","drymass","NA",10.3524492257851
"358","PI571001","drymass","NA",10.3610072289169
"359","NSL51039","drymass","NA",10.3688115120681
"360","PI521088","drymass","NA",10.3777805178485
"361","NSL55048","drymass","NA",10.3918509755154
"362","PI147837","drymass","NA",10.3996877119412
"363","PI452890","drymass","NA",10.406523893049
"364","PI329478","drymass","NA",10.4189716314598
"365","NSL67916","drymass","NA",10.4332110444003
"366","PI453080","drymass","NA",10.4372927469003
"367","PI525835","drymass","NA",10.4430459412104
"368","NSL50716","drymass","NA",10.4439483877594
"369","PI453330","drymass","NA",10.4758144765447
"370","PI525882","drymass","NA",10.4858438838474
"371","NSL50797","drymass","NA",10.5062161608032
"372","PI525769","drymass","NA",10.5069054238092
"373","PI456899B","drymass","NA",10.5085634331571
"374","PI330125","drymass","NA",10.5088003226639
"375","NSL54612","drymass","NA",10.5142279738637
"376","NSL54662","drymass","NA",10.51536940877
"377","PI453269","drymass","NA",10.5204806592437
"378","PI453109","drymass","NA",10.5432410008156
"379","PI456419","drymass","NA",10.5745834442778
"380","PI514196","drymass","NA",10.5783043915427
"381","PI156463","drymass","NA",10.5815278411848
"382","NSL55678","drymass","NA",10.5845051864408
"383","NSL54297","drymass","NA",10.5900604594002
"384","PI452988","drymass","NA",10.5971788134946
"385","PI282857","drymass","NA",10.6078441901382
"386","PI452940","drymass","NA",10.6146821989412
"387","PI453329","drymass","NA",10.616374346266
"388","PI453219","drymass","NA",10.6170826322308
"389","PI285039","drymass","NA",10.6209327845701
"390","PI522129","drymass","NA",10.6336068544695
"391","NSL55723","drymass","NA",10.643699767723
"392","PI521018","drymass","NA",10.6455740989665
"393","PI329569","drymass","NA",10.6595664646545
"394","PI276785","drymass","NA",10.6715631057388
"395","PI526015","drymass","NA",10.672107850276
"396","PI585961","drymass","NA",10.6995217990722
"397","PI329613","drymass","NA",10.7066742722087
"398","PI525728","drymass","NA",10.7069794753957
"399","PI514165","drymass","NA",10.7121304981938
"400","PI329998","drymass","NA",10.7192440352481
"401","PI453123","drymass","NA",10.7216674222423
"402","PI156393","drymass","NA",10.7235559032073
"403","NSL50650","drymass","NA",10.7282090081993
"404","PI525630","drymass","NA",10.729773260253
"405","PI453030","drymass","NA",10.73054793221
"406","NSL55749","drymass","NA",10.7345816170415
"407","PI330886","drymass","NA",10.7491419480712
"408","PI514139","drymass","NA",10.7514309779301
"409","NSL55706","drymass","NA",10.7699194749129
"410","PI148108","drymass","NA",10.7753001820909
"411","NSL50630","drymass","NA",10.7765529593028
"412","PI569460","drymass","NA",10.7795245470458
"413","NSL52006","drymass","NA",10.7804881516934
"414","PI457597","drymass","NA",10.796401062895
"415","PI457169","drymass","NA",10.8036714771148
"416","PI570916","drymass","NA",10.8046407097894
"417","PI452943","drymass","NA",10.8257663486762
"418","NSL54147","drymass","NA",10.8307047034713
"419","PI525949","drymass","NA",10.8495416456852
"420","PI660603","drymass","NA",10.8553704039748
"421","NSL54222","drymass","NA",10.8703354936113
"422","PI453245","drymass","NA",10.8796167026176
"423","PI526034","drymass","NA",10.8877219178688
"424","NSL50620","drymass","NA",10.8887055833669
"425","PI221662","drymass","NA",10.8957080377839
"426","PI521198","drymass","NA",10.8967532669048
"427","NSL50649","drymass","NA",10.9007860384128
"428","PI457183B","drymass","NA",10.906737895163
"429","PI221624","drymass","NA",10.9119753152655
"430","PI585951","drymass","NA",10.9178608645968
"431","PI453006","drymass","NA",10.9364632737102
"432","PI524469","drymass","NA",10.9457936289448
"433","PI568676","drymass","NA",10.9483052172395
"434","NSL50414","drymass","NA",10.9494703664061
"435","PI585956","drymass","NA",10.9528080495016
"436","PI152731","drymass","NA",10.9540793143949
"437","PI562897","drymass","NA",10.9645789183131
"438","NSL54878","drymass","NA",10.9704251036852
"439","PI452990","drymass","NA",10.987566396716
"440","NSL51780","drymass","NA",10.9883675335675
"441","PI526032","drymass","NA",10.9908297485588
"442","PI563023","drymass","NA",10.9950236545097
"443","PI456421","drymass","NA",10.9954163792548
"444","PI276770","drymass","NA",11.0260709964327
"445","NSL50613","drymass","NA",11.0337482216255
"446","NSL365693","drymass","NA",11.0373194118303
"447","PI524475","drymass","NA",11.0378923392272
"448","NSL50646","drymass","NA",11.0384383727597
"449","PI520990","drymass","NA",11.0455235615326
"450","PI453233","drymass","NA",11.0552219706921
"451","NSL50634","drymass","NA",11.0711478443091
"452","PI452665","drymass","NA",11.0783781916509
"453","PI591377","drymass","NA",11.0888965233359
"454","PI570031","drymass","NA",11.0949185210478
"455","PI514344","drymass","NA",11.0951113429396
"456","PI329444","drymass","NA",11.1009649367497
"457","NSL54142","drymass","NA",11.1072720598112
"458","NSL50827","drymass","NA",11.1144917066212
"459","NSL365766","drymass","NA",11.1229408855641
"460","PI452804","drymass","NA",11.1293575612364
"461","NSL55230","drymass","NA",11.1528272903301
"462","NSL51825","drymass","NA",11.1588338623087
"463","NSL54779","drymass","NA",11.1623010023935
"464","PI453246","drymass","NA",11.1696132927155
"465","PI453216","drymass","NA",11.1732105659631
"466","PI453056","drymass","NA",11.1770550944134
"467","PI452534","drymass","NA",11.1817164426555
"468","PI329299","drymass","NA",11.1862864249056
"469","PI563352","drymass","NA",11.1882595072888
"470","PI524456","drymass","NA",11.1888116986948
